team1,team2,shots1,shots2,goals1,goals2,winner
Italy,Tunisia,47,51,32,25,1
France,Qatar,57,51,37,19,1
Austria,Kuwait,50,51,37,26,1
Denmark,Algeria,63,52,47,22,1
Netherlands,Guinea,55,54,40,23,1
Portugal,United States of America,50,44,30,21,1
Egypt,Argentina,51,40,39,25,1
Czechia,Switzerland,37,38,17,17,0
Croatia,Bahrain,45,41,36,22,1
Germany,Poland,52,45,35,28,1
Hungary,North Macedonia,45,44,27,27,0
Norway,Brazil,45,44,26,29,2
Slovenia,Cuba,51,41,41,19,1
Italy,Algeria,49,48,32,23,1
Kuwait,France,53,60,19,43,2
Spain,Chile,50,45,31,22,1
Austria,Qatar,42,36,28,26,1
Sweden,Japan,51,50,39,21,1
Iceland,Cape Verde,48,36,34,21,1
Tunisia,Denmark,49,51,21,32,2
Czechia,Poland,34,33,19,19,0
Netherlands,North Macedonia,48,38,37,32,1
Portugal,Brazil,49,47,30,26,1
Bahrain,Egypt,49,48,24,35,2
United States of America,Norway,45,50,17,33,2
Croatia,Argentina,50,44,33,18,1
Switzerland,Germany,51,51,29,31,2
Guinea,Hungary,49,60,18,35,2
Cape Verde,Slovenia,50,49,24,36,2
Algeria,Tunisia,44,43,25,26,2
France,Austria,46,36,35,27,1
Spain,Japan,56,46,39,20,1
Denmark,Italy,52,38,39,20,1
Qatar,Kuwait,39,42,25,22,1
Chile,Sweden,46,55,30,42,2
Iceland,Cuba,50,51,40,19,1
Poland,Switzerland,45,48,28,30,2
North Macedonia,Guinea,51,48,29,20,1
Brazil,United States of America,50,51,31,24,1
Germany,Czechia,42,51,29,22,1
Argentina,Bahrain,44,37,26,25,1
Norway,Portugal,49,43,28,31,2
Egypt,Croatia,45,48,28,24,1
Hungary,Netherlands,49,42,36,32,1
Japan,Chile,49,46,26,31,2
Cuba,Cape Verde,51,54,28,38,2
Sweden,Spain,44,44,29,29,0
Slovenia,Iceland,36,43,18,23,2
Switzerland,Tunisia,51,48,37,26,1
Austria,North Macedonia,44,43,29,29,0
Czechia,Italy,43,40,18,25,2
Qatar,Netherlands,51,47,37,38,2
Denmark,Germany,54,46,40,30,1
Hungary,France,53,59,30,37,2
Slovenia,Argentina,47,44,34,23,1
Brazil,Chile,45,42,28,24,1
Sweden,Portugal,47,50,37,37,0
Cape Verde,Croatia,53,53,24,44,2
Egypt,Iceland,41,45,24,27,2
Norway,Spain,40,41,25,24,1
Tunisia,Czechia,45,52,26,32,2
North Macedonia,Qatar,53,54,39,34,1
Italy,Germany,52,54,27,34,2
Netherlands,France,52,48,28,35,2
Hungary,Austria,41,45,29,26,1
Denmark,Switzerland,56,57,39,28,1
Kuwait,Guinea,50,44,26,24,1
Poland,Algeria,49,52,38,32,1
Cuba,Bahrain,53,60,26,39,2
United States of America,Japan,47,43,27,25,1
Algeria,Guinea,50,47,32,23,1
Poland,Kuwait,59,58,42,32,1
