team,saves,shots
France,63,185
Croatia,56,146
Denmark,81,202
Iceland,52,134
Slovenia,49,137
Norway,48,146
Brazil,58,161
Switzerland,66,197
Poland,58,203
Spain,53,149
Germany,75,217
Italy,64,193
Egypt,51,150
North Macedonia,59,201
Kuwait,55,220
Chile,50,173
Czechia,51,164
Portugal,48,156
Hungary,60,191
Sweden,47,156
Guinea,70,223
Algeria,53,211
Austria,48,182
Japan,48,178
Tunisia,50,203
United States of America,42,157
Bahrain,43,162
Cape Verde,37,163
Netherlands,39,178
Qatar,47,197
Cuba,42,195
Argentina,36,165
